location,info,work_time,pay,reg_date
서울 영등포,[더현대 서울] 현대백화점 회원서비스센터 아르바이트 모집,10:00~19:30,"시급8,800",27분전
경기 성남시,현대백화점 판교점 힐링 파크 (5.14~6.6) 단기 아르바이트 구인합니다,10:00~20:30,"시급8,800",55분전
서울 중구,"[금토일][중국어가능자 시급9,200원]현대시티아울렛 동대문점 통합데스크AR",10:00~19:30,"시급9,200",2시간전
서울 중구,"[금토일][중국어가능자 시급9,200원]현대시티아울렛 동대문점 통합데스크AR",10:00~19:30,"시급9,200",2시간전
경기 부천시,[현대백화점 중동점]판매기획팀 업무보조A/R 모집,09:30~18:00,"시급8,800",3시간전
서울 강동구,현대백화점 천호점 식품팀 스템프 행사AR 평일 (사진필수),10:00~21:00,"시급8,800",3시간전
서울 강동구,현대백화점 천호점 식품팀 스템프 행사AR 주말 (사진필수),10:00~21:00,"시급8,800",3시간전
서울 강동구,"현대백화점 천호점 사은데스크 주말 여자 (토,일) 아르바이트 모집(사진필수)",10:00~20:30,"시급8,800",4시간전
서울 강동구,현대백화점 천호점 식품팀 스템프 행사AR(사진필수),10:00~21:00,"시급8,800",4시간전
서울 강동구,현대백화점 천호점 식품팀 스템프 행사AR(사진필수),10:00~21:00,"시급8,800",4시간전
경기 남양주,[고정] 현대프리미엄아울렛 스페이스원 모카가든관리,10:00~19:30,"시급9,500",9시간전
서울 강남구,[현대백화점] 압구정본점 사은데스크 직영 아르바이트 채용,10:00~20:00,"시급8,800",05/08
서울 강남구,[현대백화점] 압구정본점 사은데스크 직영 아르바이트 채용,10:00~20:00,"시급8,800",05/08
경기 고양시,[현대백화점 킨텍스점] 지원팀 고정 아르바이트 구인,09:00~18:00,"시급8,800",05/08
서울 강남구,[현대백화점 무역센터점] 푸드코트 앞 방역 평일 아르바이트 모집,10:30~20:00,"시급8,800",05/08
서울 중구,"[금토일][중국어가능자 시급9,200원]현대시티아울렛 동대문점 통합데스크AR",10:00~19:30,"시급9,200",05/07
서울 강남구,[현대백화점 무역센터점] 자스민라운지 홀서빙 아르바이트 모집,10:30~18:30,"시급10,064",05/07
울산 남구,지하1층 푸드코트 전자출입부 안내 (평일),10:30~20:00,"시급8,800",05/07
