location,info,work_time,pay,reg_date
대전 서구,[대전] H&M 1개월 단기근무 가능자 모집(주20시간),07:30~23:00,"시급10,470",2시간전
경기 고양시,[파주] H&M 1개월 단기근무 가능자 모집(주20시간),시간협의,"시급10,470",05/08
경기 파주시,[파주] H&M 1개월 단기근무 가능자 모집(주20시간),시간협의,"시급10,470",05/08
경기 하남시,[하남스타필드] H&M 일일근무 가능자 모집,07:00~22:00,"시급10,470",05/08
충남 천안시,[천안] H&M 일일근무 가능자 모집,08:00~17:00,"시급10,470",05/08
서울 용산구,[용산] H&M 1개월 단기근무 가능자 모집(주20시간),12:00~22:00,"시급10,470",05/08
충남 천안시,[천안] H&M 1개월 단기근무 가능자 모집(주20시간),시간협의,"시급10,470",05/08
경기 파주시,[파주] H&M 1개월 단기근무 가능자 모집(주20시간),시간협의,"시급10,470",05/08
부산 부산진,[서면 NC] H&M 1개월 단기근무 가능자 모집(주20시간),시간협의,"시급10,470",05/07
경기 성남시,[판교현대백화점] H&M 일일근무 가능자 모집,시간협의,"시급10,470",05/07
서울 영등포,[영등포] H&M 일일근무 가능자 모집,시간협의,"시급10,470",05/07
대구 중구,[대구] H&M 1개월 단기근무 가능자 모집(주20시간),시간협의,"시급10,470",05/07
서울 강남구,[가로수길] H&M 1개월 단기근무 가능자 모집(주20시간),시간협의,"시급10,470",05/07
서울 강남구,[가로수길] H&M 일일근무 가능자 모집,시간협의,"시급10,470",05/07
경기 부천시,[부천홈플러스] H&M 1개월 단기근무 가능자 모집(주20시간),시간협의,"시급10,470",05/07
경기 고양시,[고양스타필드] H&M 일일근무 가능자 모집,시간협의,"시급10,470",05/03
충북 청주시,[청주] H&M 일일근무 가능자 모집,08:00~17:00,"시급10,470",05/03
경기 하남시,[하남스타필드] H&M 일일근무 가능자 모집,07:00~22:00,"시급10,470",05/03
인천 연수구,[송도트리플스트리트] H&M 일일근무 가능자 모집,07:00~21:00,"시급10,470",05/03
경기 성남시,[판교현대백화점] H&M 1개월 단기근무 가능자 모집(주20시간),시간협의,"시급10,470",05/02
경기 수원시,[수원AK] H&M 1개월 단기근무 가능자 모집(주20시간),시간협의,"시급10,470",05/01
경기 부천시,[부천옥길] H&M 1개월 단기근무 가능자 모집(주20시간),시간협의,"시급10,470",05/01
경남 창원시,[창원시티7] H&M 1개월 단기근무 가능자 모집(주20시간),시간협의,"시급10,470",05/01
경기 용인시,[수지롯데몰] H&M 일일근무 가능자 모집,13:00~22:00,"시급10,470",05/01
경기 부천시,[부천] H&M 일일근무 가능자 모집,12:00~21:00,"시급10,470",05/01
서울 강남구,[코엑스] H&M 1개월 단기근무 가능자 모집(주20시간),13:00~22:00,"시급10,470",05/01
서울 강남구,[코엑스] H&M 일일근무 가능자 모집,12:00~21:00,"시급10,470",05/01
서울 영등포,[영등포 타임스퀘어] H&M 일일근무 가능자 모집,시간협의,"시급10,470",05/01
서울 송파구,[잠실롯데월드몰] H&M 일일근무 가능자 모집,시간협의,"시급10,470",05/01
광주 동구,[광주] H&M 1개월 단기근무 가능자 모집(주20시간),시간협의,"시급10,470",05/01
서울 구로구,[c 신도림] H&M 일일근무 가능자 모집,11:00~20:00,"시급10,470",05/01
부산 해운대,[부산센텀] H&M 1개월 단기근무 가능자 모집(주20시간),시간협의,"시급10,470",05/01
세종 어진동,[세종] H&M 일일근무 가능자 모집,08:00~14:30,"시급10,470",04/30
서울 강서구,[김포공항] H&M 일일근무 가능자 모집,시간협의,"시급10,470",04/27
경기 안성시,[안성스타필드] H&M 1개월 단기근무 가능자 모집(주20시간),시간협의,"시급10,470",04/27
경기 하남시,[하남스타필드] H&M 1개월 단기근무 가능자 모집(주20시간),시간협의,"시급10,470",04/27
인천 연수구,[인천스퀘어원] H&M 1개월 단기근무 가능자 모집(주20시간),07:30~18:00,"시급10,470",04/26
서울 마포구,[홍대] H&M 1개월 단기근무 가능자 모집(주20시간),시간협의,"시급10,470",04/25
서울 송파구,[잠실] H&M 1개월 단기근무 가능자 모집(주20시간),시간협의,"시급10,470",04/24
서울 강서구,[강서NC] H&M 1개월 단기근무 가능자 모집(주20시간),13:00~22:00,"시급10,470",04/24
울산 남구,[울산] H&M 1개월 단기근무 가능자 모집(주20시간),07:00~22:00,"시급10,470",04/24
