location,info,work_time,pay,reg_date
서울 용산구,주방알바 모집합니다,18:00~23:00,"시급12,000",3시간전
서울 성동구,깐부치킨 갤러리아포레점에서 주방장 모집합니다,시간협의,"월급2,800,000",3시간전
서울 영등포,깐부치킨 동여의도점에서 아르바이트생을 모집합니다. ( 여의도 / 샛강역 ),18:00~01:00,"시급10,000",5시간전
서울 강남구,주방에서 일할분 모집합니다(시간제가능),18:00~23:00,"시급12,000",6시간전
서울 강남구,깐부치킨(일원점)홀 주중알바생,16:00~20:00,"시급9,000",7시간전
서울 서초구,"[목금,금토] 깐부치킨 서초점에서 홀서빙 아르바이트 모집합니다.",18:00~00:30,"시급9,000",8시간전
경기 용인시,깐부치킨 성복_본점 아르바이트 구인,17:00~21:00,"시급8,720",8시간전
경기 용인시,깐부치킨 수지구청점에서 홀아르바이트 모집합니다,19:00~01:30,"시급8,720",05/08
경기 안산시,"마감홀알바, 주방보조 모집합니다.",17:00~24:00,"시급8,900",05/08
인천 연수구,깐부치킨 송도마리나베이점 아르바이트 구합니다.,18:00~23:30,"시급9,000",05/08
인천 연수구,깐부치킨 송도마리나베이점 직원 구합니다.,17:00~24:00,"월급2,000,000",05/08
서울 강남구,-깐부치킨-  홀 직원 . 주방 직원 / 구합니다.,15:00~01:00,"월급2,300,000",05/07
경기 용인시,깐부치킨 홀 서빙 모집,19:00~22:30,"시급9,000",05/06
서울 강남구,깐부치킨 세곡점 홀직원 모집,17:00~00:00,"월급1,600,000",05/05
서울 성동구,깐부치킨갤러리아포레점에서 주방장 및 주방보조 구합니다,시간협의,"월급2,800,000",05/04
경기 성남시,깐부치킨 정자동까페거리점에서 가족을 모집합니다.,18:00~22:00,"시급9,500",05/04
경기 안산시,"마감홀알바, 주방보조 모집합니다.",17:00~24:00,"시급8,900",05/03
서울 강남구,깐부치킨 역삼역점에서 주방직원 모집합니다.,15:00~01:00,"월급2,500,000",05/03
서울 강남구,-깐부치킨- / 주방 /홀  직원 구합니다.,15:00~01:00,"월급2,500,000",05/01
경기 용인시,깐부치킨 수지구청점에서 홀아르바이트 모집합니다,19:00~01:30,"시급8,720",05/01
서울 중구,깐부치킨_을지트윈타워 아르바이트 모집 (목금),18:00~22:30,"시급9,000",05/01
서울 강서구,홀서빙/주방 아르바이트 모집합니다.,16:00~23:00,"시급9,000",05/01
서울 강서구,주방/홀서빙 아르바이트 모집합니다.,15:30~23:30,"시급9,000",05/01
서울 서초구,깐부치킨 사당역점 홀서빙 아르바이트 [월화수금토] 구해요,18:00~22:00,"시급10,000",04/29
경기 용인시,깐부치킨 홀 서빙 모집,19:00~22:30,"시급9,000",04/29
서울 강남구,깐부치킨 역삼역점에서 직원 모집합니다.,15:00~01:00,"월급2,500,000",04/28
서울 강남구,-깐부치킨- / 주방 /홀  직원 구합니다.,15:00~01:00,"월급2,500,000",04/27
서울 강남구,-깐부치킨- / 주방 /홀  직원 구합니다.,15:00~01:00,"월급2,500,000",04/26
서울 서초구,깐부치킨 사당역점 홀서빙 아르바이트 [월화수금토] 구해요,18:00~22:00,"시급10,000",04/26
서울 성동구,깐부치킨 갤러리아포레점에서 주방 급하게 구합니다,시간협의,"시급10,000",04/26
경기 안산시,"마감홀알바, 주방보조 모집합니다.",17:00~24:00,"시급8,900",04/25
서울 용산구,평일/주말 아르바이트 모집,18:00~01:00,"시급9,500",04/25
서울 강남구,깐부치킨 역삼역점에서 직원 모집합니다.,15:00~01:00,"월급2,500,000",04/25
경기 용인시,주방직원(알바) 모집합니다,19:00~22:30,"시급11,000",04/25
서울 성동구,깐부치킨 갤러리아포레점에서 주방아르바이트분 급하게모집합니다,시간협의,"시급10,000",04/24
서울 용산구,정규직 모집(홀/주방 업무),14:00~01:00,"월급2,800,000",04/24
