location,info,work_time,pay,reg_date
인천 전체,제이디스포츠패션코리아 인천구월점(직) STAFF 모집,10:30~18:30,"시급9,040",27분전
인천 부평구,제이디스포츠패션코리아 부평중앙점(직) STAFF 모집,14:00~22:00,"시급9,040",2시간전
인천 부평구,제이디스포츠패션코리아 부평중앙점(직) STAFF 모집,13:00~22:00,"월급1,822,480",2시간전
인천 부평구,제이디스포츠패션코리아 부평중앙점(직) STAFF 모집,14:00~22:00,"시급9,040",2시간전
인천 부평구,제이디스포츠패션코리아 부평중앙점(직) STAFF 모집,13:00~22:00,"월급1,822,480",2시간전
서울 강남구,JD스포츠 패션코리아 강남점 오후 파트타임 STAFF모집,14:30~22:00,"시급9,040",3시간전
서울 강남구,"JD스포츠 패션 코리아 파르나스몰점 주말 토,일 (주2일) 파트타임 모집",14:30~22:00,"시급9,040",3시간전
서울 강남구,JD스포츠 패션코리아 강남점 오후 파트타임 STAFF모집,14:30~22:00,"시급9,040",4시간전
광주 동구,"JD스포츠패션코리아 광주충장로점 화,수 2일 파트타임 모집",14:30~22:00,"시급9,040",5시간전
경기 고양시,제이디스포츠패션코리아 스타필드고양점 직원모집(주40시간),13:00~22:00,"월급1,822,480",05/08
제주 제주시,JD스포츠패션코리아 제주칠성점 직원모집(준사원-마감조),13:00~22:00,"월급1,822,480",05/08
제주 제주시,JD스포츠패션코리아 제주칠성점 직원모집(준사원-마감조),13:00~22:00,"월급1,822,480",05/07
서울 강남구,"JD스포츠 패션 코리아 파르나스몰점 주말 토,일 (주2일) 파트타임 모집",14:30~22:00,"시급9,040",05/07
울산 중구,JD스포츠 패션 코리아 울산성남점 STAFF 모집,13:00~22:00,"월급1,822,480",05/06
경기 고양시,제이디스포츠패션코리아 스타필드고양점 직원모집(주40시간),13:00~22:00,"월급1,822,480",05/04
서울 강남구,"JD스포츠 패션 코리아 파르나스몰점 주말 토,일 (주2일) 파트타임 모집",14:30~22:00,"시급9,040",05/04
제주 제주시,JD스포츠패션코리아 제주칠성점 직원모집(준사원-마감조),13:00~22:00,"월급1,822,480",05/04
충북 청주시,JD SPORTS 청주성안점 판매STAFF 모집,10:00~20:00,"월급1,822,480",05/03
충북 청주시,JD스포츠패션코리아 청주성안점 평일(주 2일) 파트타임 모집,02:00~22:00,"시급9,040",05/01
충북 청주시,JD스포츠패션코리아 청주성안점 평일(주 2일) 파트타임 모집,02:00~22:00,"시급9,040",05/01
충북 청주시,JD스포츠패션코리아 청주성안점 평일(주 2일) 파트타임 모집,02:00~22:00,"시급9,040",05/01
제주 제주시,JD스포츠패션코리아 제주칠성점 직원모집(준사원-마감조),13:00~22:00,"월급1,822,480",05/01
충북 청주시,JD스포츠패션코리아 청주성안점 평일(주 2일) 파트타임 모집,02:00~22:00,"시급9,040",04/29
경기 고양시,제이디스포츠패션코리아 스타필드고양점 직원모집(주40시간),13:00~22:00,"월급1,822,480",04/26
경기 고양시,제이디스포츠패션코리아 스타필드고양점 직원모집(주40시간),13:00~22:00,"월급1,822,480",04/24
광주 동구,"JD스포츠패션코리아 광주충장로점 화,수 2일 파트타임 모집",14:30~22:00,"시급9,040",04/24
인천 연수구,JD스포츠 인천스퀘어원점 직원 모집,10:00~19:30,"월급1,822,480",04/24
인천 연수구,"JD스포츠 인천스퀘어원점 주2회(수,목) 파트타이머 모집",11:00~19:00,"시급9,040",04/24
