location,info,work_time,pay,reg_date
대구 북구,식품제조공장 직원 모집합니다.,08:00~18:00,"월급2,200,000",4분전
대구 북구,식품제조공장 직원 모집합니다.,08:00~18:00,"월급2,200,000",5분전
부산 부산진,배달알바구합니다,18:00~24:00,"시급9,300",5분전
부산 부산진,반올림피자에서 주방(토핑.도우)함께하실분 모십니다.,18:00~24:00,"시급8,800",5분전
경기 남양주,반올림피자샵 와부점에서 주방 평일 알바 또는 직원 구합니다.,11:30~23:00,"시급8,720",10분전
경기 성남시,피자샵 태평수진점 주방스탭 모집합니다.,12:00~24:00,"월급2,700,000",28분전
경기 성남시,피자샵 태평수진점 주방스탭 모집합니다.,12:00~24:00,"월급2,700,000",29분전
경기 수원시,반올림피자샵 광교상현점 피자메이커 알바 모집합니다.,11:00~23:30,"시급9,500",29분전
경기 안산시,주말 주방 아르바이트 하실분 모십니다,15:00~23:00,"시급9,200",29분전
경기 성남시,피자샵 태평수진점 주방스탭 모집합니다.,12:00~24:00,"월급2,700,000",29분전
경기 안산시,주말 주방 아르바이트 하실분 모십니다,15:00~23:00,"시급9,200",30분전
서울 강동구,피자샵에서 직원을 구합니다,12:00~24:00,"시급8,720",30분전
서울 강동구,피자샵에서 직원을 구합니다,12:00~24:00,"시급8,720",30분전
서울 강동구,피자샵에서 직원을 구합니다,12:00~24:00,"시급8,720",31분전
서울 강동구,피자샵에서 직원을 구합니다,12:00~24:00,"시급8,720",31분전
서울 구로구,구로점에서 가족을 모집합니다,12:00~02:00,"시급10,500",34분전
서울 구로구,구로점에서 가족을 모집합니다,12:00~02:00,"시급10,500",35분전
경기 여주시,반올림 피자샵 여주점에서 주방 알바 직원 구인합니다.,12:00~23:30,"시급9,000",35분전
서울 구로구,구로점에서 가족을 모집합니다,12:00~02:00,"시급10,500",40분전
대구 전체,반올림피자샵에서 정직원을 구합니다,시간협의,"월급2,400,000",1시간전
경기 이천시,반올림피자샵 이천하이닉스점에서 배달 및 주방 알바 대 모 집 합니다아,시간협의,"시급11,000",1시간전
경기 이천시,반올림피자샵 이천하이닉스점에서 배달 및 주방 알바 대 모 집 합니다아,시간협의,"시급11,000",1시간전
인천 남동구,"피자샵에서 피자메이커(주방) 직원 모집합니다.(주5/6일제,주말,반타임)",12:00~00:00,"월급3,000,000",1시간전
서울 관악구,"피자�� 주방 아르바이트(주 2,3일,17시~23시, 요일협의가능)를 구합니다",17:30~23:30,"시급8,720",1시간전
서울 관악구,"피자샵신림점에서 주중배달 (17:30~23:30,시간협의) 11,000원",17:30~23:30,"시급11,000",1시간전
서울 광진구,반올림 피자샵 자양성수점 직원 구합니다.,12:00~24:00,"월급2,700,000",1시간전
서울 광진구,반올림 피자샵 자양성수점 피자매이커 구합니다.,12:00~24:00,"시급9,000",1시간전
서울 관악구,"피자샵신림점에서 주중배달 (17~23시,시간협의) 11,000원",17:30~23:30,"시급11,000",1시간전
서울 관악구,"피자샵신림점에서 주말배달 (12시~24시,시간협의) 11,500원",12:00~24:00,"시급11,500",1시간전
대구 수성구,피자샵 수성점에서 함께할  배달 정직원 구합니다. (주4일),12:00~24:00,"월급2,100,000",1시간전
서울 관악구,"피자�� 주방 아르바이트(주 2,3일,17시~23시, 요일협의가능)를 구합니다",17:30~23:30,"시급8,720",1시간전
서울 광진구,반올림 피자샵 자양성수점 피자매이커 구합니다.,12:00~24:00,"시급9,000",1시간전
부산 남구,부산남구점 직원 & 아르바이트 구합니다,시간협의,"시급8,720",2시간전
서울 강남구,강남구청역인근-(피자배달) 배달인원모집 주5일 주6일 300~350만원,11:00~23:00,"월급3,500,000",2시간전
대구 수성구,정직원 구합니다,11:30~23:30,"월급1,900,000",2시간전
경기 부천시,[부천 중동] 반올림 피자샵 원미구점 배달직원 구합니다,12:00~00:00,"월급2,700,000",2시간전
경기 고양시,반올림피자샵 고양점,17:00~11:00,"시급8,720",2시간전
인천 중구,피자샵 동인천점에서 배달 직원 및 주방 직원 모집합니다~,12:00~00:30,"월급3,100,000",2시간전
인천 동구,피자샵 동인천점에서 배달 직원 및 주방 직원 모집합니다~,12:00~00:30,"월급3,100,000",2시간전
인천 미추홀,피자샵 동인천점에서 배달 직원 및 주방 직원 모집합니다~,12:00~00:30,"월급3,100,000",2시간전
인천 미추홀,피자샵 동인천점에서 배달 직원 및 주방 직원 모집합니다~,12:00~00:30,"월급3,100,000",2시간전
인천 미추홀,피자샵 동인천점에서 배달 직원 및 주방 직원 모집합니다~,12:00~00:30,"월급3,100,000",2시간전
대구 달서구,반올림피자샵 월배송현점 라이더분 모십니다.,11:30~24:00,"월급2,500,000",2시간전
대전 서구,반올림피자샵 관저도안점에서 파트타임 피자 메이커 모집합니다.,17:00~23:00,"시급9,000",3시간전
경기 안양시,주방직원 1명(주5일/월250만원),12:00~24:00,"월급2,500,000",3시간전
경기 용인시,[피자샵 처인구점] 피자메이커(주말알바)구해욤,11:30~23:00,"시급8,800",3시간전
전남 여수시,반올림피자샵 여수점에서 함께할 정직원을 모집 합니다~,12:00~23:30,"월급2,520,000",3시간전
전남 여수시,반올림피자샵 여수점에서 함께할 배달 정직원을 모집 합니다~,12:00~24:00,"월급3,000,000",3시간전
전남 여수시,반올림피자샵 여수점에서 함께할 정직원을 모집 합니다~,12:00~23:30,"월급2,520,000",3시간전
전남 여수시,반올림피자샵 여수점에서 함께할 스탭을 모집 합니다~,17:00~24:00,"시급10,310",3시간전
